,MS SubClass,MS Zoning,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,Land Contour,Land Slope,Street,Lot Shape
743,Duplex All,Residential Low Density,Corner,NAmes,Norm,Norm,Duplex,Lvl,Gtl,Pave,Reg
744,Duplex All,Residential Low Density,Inside,Sawyer,Feedr,Norm,Duplex,Lvl,Gtl,Pave,Reg
745,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Bnk,Sev,Pave,IR1
746,Duplex All,Residential Low Density,Inside,NAmes,Norm,Norm,Duplex,Lvl,Gtl,Pave,Reg
747,2 Storey 1946 Newer,Residential Low Density,CulDSac,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
748,Split Foyer,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
749,1 Storey Newer All,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
750,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
751,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Artery,Norm,1Fam,HLS,Mod,Pave,Reg
752,1 Storey Newer All,Residential Low Density,Corner,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
753,Split,Residential Low Density,Corner,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
754,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
755,1 Storey Newer All,Residential Low Density,Corner,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
756,1 Storey PUD,Residential Low Density,Inside,StoneBr,PosN,PosN,TwnhsE,HLS,Gtl,Pave,Reg
757,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
758,1 Storey Newer All,Residential Low Density,Inside,NAmes,PosN,Norm,1Fam,Lvl,Gtl,Pave,Reg
759,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
760,Split,Residential Low Density,CulDSac,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
761,Split,Residential Low Density,Corner,Veenker,Norm,Norm,1Fam,Low,Gtl,Pave,IR1
762,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
763,Split Foyer,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
764,Split,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
765,Duplex All,Residential Low Density,Inside,Sawyer,Feedr,RRAe,Duplex,Lvl,Gtl,Pave,IR1
766,Family Conversion,Residential Medium Density,Inside,OldTown,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
767,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,RRAn,Norm,1Fam,Lvl,Gtl,Pave,Reg
768,1.5 Finished,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
769,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
770,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
771,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
773,Family Conversion,Residential Medium Density,Inside,OldTown,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
774,2 Storey 1946 Newer,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
775,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
776,Family Conversion,Residential Low Density,Inside,Sawyer,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
777,Split,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
778,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
779,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
780,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
781,1 Storey Newer All,Residential Low Density,FR2,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
782,1 Storey W/Finished Attic,Residential Medium Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
784,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
785,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
786,1 Storey Newer All,Residential Low Density,Inside,Veenker,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
788,Split,Residential Low Density,FR2,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
789,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
792,1 Storey Newer All,Residential Low Density,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
793,1 Storey Newer All,Residential Low Density,Inside,NWAmes,RRAn,Norm,1Fam,Lvl,Gtl,Pave,Reg
795,2 Storey 1946 Newer,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
796,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
797,1 Storey 1945 older,Residential Low Density,Inside,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
798,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
799,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
800,1 Storey Newer All,Residential Low Density,CulDSac,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
801,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
802,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Low,Mod,Pave,Reg
803,Duplex All,Residential Low Density,Inside,NAmes,Norm,Norm,Duplex,Lvl,Gtl,Pave,IR1
804,2 Storey 1946 Older,Residential Medium Density,FR3,BrkSide,RRNn,Feedr,1Fam,Lvl,Gtl,Pave,IR1
805,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
806,PUD Multi,Residential Medium Density,Inside,Edwards,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
807,1 Storey 1945 older,C (all),Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
808,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
809,1 Storey Newer All,Residential Low Density,Corner,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
810,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
811,Split,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Low,Mod,Pave,IR1
812,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
813,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
815,2 Storey 1946 Newer,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Mod,Pave,Reg
816,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
817,1.5 Finished,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Gtl,Pave,Reg
818,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
819,Split Foyer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
820,1.5 Finished,Residential Low Density,Inside,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
821,1.5 Finished,Residential Low Density,Corner,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
823,2 Storey 1946 Newer,Residential Low Density,CulDSac,StoneBr,Norm,Norm,1Fam,HLS,Mod,Pave,IR2
825,1 Storey Newer All,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
826,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
827,1 Storey Newer All,Residential Low Density,CulDSac,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
828,1.5 Finished,Residential Low Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
829,1 Storey Newer All,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
830,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
831,2.5 Story All,Residential Medium Density,Corner,OldTown,Norm,Norm,1Fam,Bnk,Gtl,Pave,IR1
832,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
833,1 Storey Newer All,Residential Low Density,Corner,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
834,1.5 Finished,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
835,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
836,2 Storey 1946 Newer,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
837,1 Storey PUD,Residential Low Density,Corner,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
838,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
839,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
840,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
841,1 Storey Newer All,Residential Low Density,CulDSac,ClearCr,Norm,Norm,1Fam,Low,Sev,Pave,IR1
842,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
843,1 Storey 1945 older,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
844,1 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR2
845,1 Storey PUD,Residential Medium Density,Inside,Crawfor,Norm,Norm,TwnhsE,HLS,Mod,Pave,IR1
846,1 Storey PUD,Residential Low Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
847,1 Storey PUD,Floating Village Residential,Corner,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
848,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
849,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
850,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
851,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
852,1 Storey Newer All,Residential Low Density,Corner,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
853,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
854,1 Storey 1945 older,Residential Medium Density,Inside,IDOTRR,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
855,1 Storey 1945 older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
856,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
857,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
859,1 Storey Newer All,Residential Low Density,Inside,SWISU,Norm,Norm,1Fam,HLS,Gtl,Pave,Reg
860,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
861,Duplex All,Residential Low Density,Inside,NAmes,Norm,Norm,Duplex,Lvl,Gtl,Pave,Reg
862,2 Storey 1946 Newer,Residential Low Density,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
863,1 Storey Newer All,Residential Low Density,FR2,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
864,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
865,1 Storey Newer All,Residential Low Density,Inside,Crawfor,PosA,Norm,1Fam,Lvl,Gtl,Pave,Reg
866,1 Storey Newer All,Residential Low Density,Inside,Somerst,PosN,Norm,1Fam,Lvl,Gtl,Pave,Reg
867,1 Storey Newer All,Residential Low Density,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
868,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
869,2 Storey 1946 Older,Residential Low Density,Inside,BrkSide,RRAn,Norm,1Fam,Lvl,Gtl,Pave,Reg
870,1 Storey 1945 older,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
871,Duplex All,Residential Low Density,Inside,Sawyer,Norm,Norm,Duplex,Lvl,Gtl,Pave,IR1
872,2 Storey PUD,Residential Medium Density,Inside,Edwards,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
873,1 Storey 1945 older,Residential Medium Density,Inside,IDOTRR,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
874,Split,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
875,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
876,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
877,Split Foyer,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
879,2 Storey 1946 Newer,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
880,2 Storey 1946 Newer,Residential Low Density,Inside,Somerst,RRAn,Norm,1Fam,Lvl,Gtl,Pave,IR1
881,1 Storey Newer All,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
882,1.5 Unfinished,Residential Medium Density,Corner,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
883,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
884,2 Storey 1946 Newer,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
885,1 Storey 1945 older,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
886,2 Storey 1946 Newer,Residential Low Density,FR2,Gilbert,Norm,Norm,1Fam,HLS,Gtl,Pave,IR2
887,2 Storey 1946 Newer,Residential Low Density,Inside,ClearCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
888,2 Storey 1946 Newer,Residential Low Density,FR2,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
889,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
890,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
891,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
892,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
893,Family Conversion,Residential Medium Density,Inside,OldTown,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
894,1.5 Unfinished,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
895,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,RRAn,Norm,1Fam,Lvl,Gtl,Pave,Reg
896,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
897,2 Storey 1946 Newer,Residential Low Density,CulDSac,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
898,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
899,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
900,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
902,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
903,1 Storey Newer All,Residential Low Density,FR2,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
904,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
905,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
906,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
907,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
908,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
909,1 Storey PUD,Residential Medium Density,Inside,CollgCr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
910,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
911,1 Storey Newer All,Residential Low Density,Corner,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
912,1.5 Finished,Residential Low Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
913,1 Storey Newer All,Residential Low Density,CulDSac,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
914,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
915,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
916,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
917,2 Storey 1946 Newer,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
918,1.5 Finished,Residential Medium Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
919,1 Storey 1945 older,Residential Low Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
920,1 Storey Newer All,Residential Low Density,FR2,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
921,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
922,1 Storey Newer All,Residential Low Density,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
923,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
925,1 Storey 1945 older,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
926,1 Storey Newer All,Residential Low Density,FR2,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
927,2 Storey 1946 Newer,Residential Low Density,FR2,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
928,1 Storey Newer All,Residential Low Density,Inside,NAmes,PosN,Norm,1Fam,Lvl,Gtl,Pave,Reg
929,1 Storey PUD,Residential Medium Density,Inside,CollgCr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
930,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
931,1 Storey Newer All,Residential Low Density,FR2,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
932,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
934,1 Storey Newer All,Residential Low Density,Inside,StoneBr,PosA,PosA,1Fam,HLS,Gtl,Pave,IR1
935,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
936,2 Storey 1946 Newer,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
937,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
938,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
939,1 Storey Newer All,Floating Village Residential,Corner,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
940,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
941,2 Storey 1946 Newer,Residential Low Density,Corner,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR3
944,Split,Residential Low Density,Corner,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
945,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
946,1 Storey Newer All,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Low,Mod,Pave,Reg
947,1.5 Finished,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Low,Mod,Pave,IR1
948,Split,Residential Low Density,Corner,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
949,1 Storey Newer All,Residential Low Density,CulDSac,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
950,2 Storey PUD,Residential Medium Density,Inside,MeadowV,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
952,1 Storey Newer All,Residential Low Density,CulDSac,Crawfor,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
953,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
955,1 Storey Newer All,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
956,1 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
957,1 Storey Newer All,Residential Low Density,Inside,NWAmes,PosN,Norm,1Fam,Lvl,Gtl,Pave,IR1
958,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
960,2 Storey 1946 Newer,Residential Low Density,Corner,Edwards,Feedr,Norm,1Fam,Bnk,Gtl,Pave,IR3
961,Split Foyer,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
962,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
963,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
965,1.5 Finished,Residential Low Density,Corner,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
966,Split,Residential Low Density,Corner,Mitchel,Norm,Norm,1Fam,Low,Mod,Pave,IR1
967,1 Storey Newer All,Residential Low Density,FR2,Veenker,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
968,2 Storey 1946 Newer,Residential Low Density,CulDSac,CollgCr,PosN,Norm,1Fam,Lvl,Gtl,Pave,IR2
969,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,PosA,Norm,1Fam,Lvl,Gtl,Pave,Reg
971,2 Storey 1946 Newer,Residential Low Density,CulDSac,ClearCr,Norm,Norm,1Fam,Low,Mod,Pave,IR1
972,1.5 Finished,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
973,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
974,1.5 Finished,Residential Medium Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
975,2 Storey PUD,Residential Medium Density,Inside,MeadowV,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
976,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
977,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
979,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
980,1 Storey Newer All,Residential Low Density,Corner,Crawfor,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
981,1.5 Finished,Residential Low Density,Inside,BrkSide,Norm,Norm,1Fam,Bnk,Gtl,Pave,IR1
982,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
983,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
984,Duplex All,Residential Low Density,Inside,NAmes,Norm,Norm,Duplex,Lvl,Gtl,Pave,IR1
985,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
986,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
987,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
988,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
989,2 Storey 1946 Newer,Floating Village Residential,Corner,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
990,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
991,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
992,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
993,1 Storey Newer All,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
